new/used,name,milage,price,id,drive mode,fuel consumption,fuel type,accident history,clean title,one owner?,personal use,factory recall
Toyota Certified,2020 Toyota Tacoma SR," 29,084 mi.","$37,119",591be8b8-c3c8-445e-8544-b7e48a1922de,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
,,,,79f0eec3-6d43-4b7e-be6b-b452774c6e25,,,,,,,,
Toyota Certified,2020 Toyota Tacoma TRD Pro," 77,470 mi.","$44,990",77b8f349-7a0f-4bfc-b5bb-797844e986a5,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2022 Toyota Sienna LE," 30,394 mi.","$44,119",0811ca68-ff53-448e-8042-0e6987f60014,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2021 Toyota 4Runner TRD Off-Ro," 44,874 mi.","$45,119",e1df249a-48c8-4ee0-ad61-25a4f3e86803,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2021 Toyota RAV4 Hybrid XLE Premiu," 42,650 mi.","$38,119",cee2e2d0-1172-427a-aa46-4127cecb01cb,–,– ,B ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2021 Toyota Prius Prime LE," 46,397 mi.","$29,119",aaa00f1f-cb94-4bdf-b2a9-4d0014b3f159,–,– ,B ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Used,2010 Ford Escape Hybrid Base," 160,900 mi.","$5,500",04c39a3a-bc2b-499b-85b6-d8267942f69e,,,,None reported,Yes,Yes,Yes,
Used,2021 Ford Bronco Outer Banks," 27,800 mi.","$51,000",668c808a-f1fd-472d-b939-5b30c281271c,,,,None reported,Yes,Yes,Yes,At least 1 open recall reported
,,,,65560634-e8db-466b-8220-c287db354791,,,,,,,,
Used,2019 GMC Acadia SLT-1," 72,738 mi.","$22,995",88964bc6-fa75-4dfc-8b79-dc9b4eb9311e,17–25,All-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,No,Yes,
Used,2020 Ford Ranger XLT," 24,013 mi.","$33,329",04bea64f-2a97-499e-b7de-67e74d0f067b,20–24,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Used,2022 RAM 1500 Longhorn," 93,816 mi.","$40,995",9e6df867-f248-4ec1-a48f-1e29fe43c08f,15–21,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,Yes,Yes,At least 1 open recall reported
Used,2021 Ford Explorer XLT," 40,667 mi.","$30,995",43a28d6f-c380-409c-baa7-f05045143529,20–27,Four-wheel Drive ,Gasoline ,None reported,Yes,No,Yes,
Used,2021 Ford Explorer XLT," 30,812 mi.","$32,995",eb6022fe-85c8-406a-8afb-8f4900d57660,20–27,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,Yes,Yes,
Used,2022 Ford F-150 Platinum," 8,568 mi.","$64,000",544045af-5e48-482f-953a-e4a55047122b,18–23,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,Yes,Yes,At least 1 open recall reported
Used,2022 Ford F-350 XLT," 68,691 mi.","$56,995",ba430194-53c1-4765-860d-de3f3c26298c,"0–0

",Four-wheel Drive ,Diesel ,At least 1 accident or damage reported,Yes,Yes,Yes,At least 1 open recall reported
Used,2021 Ford F-150 XLT," 13,657 mi.","$41,995",8de066e8-6646-4eba-b4b5-f328261bc05b,18–24,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,At least 1 open recall reported
